,COPEC,CMPC,CCU,ENEL,FALABELLA,RIPLEY,POLPAICO,IPSA,IGPA
1993-10-01 00:00:00,770.0,304.86,1883.91,162.5,,,,563.9,3200.2
1993-11-01 00:00:00,735.0,295.27,2168.81,181.7,,,,601.82,3388.0
1993-12-01 00:00:00,885.0,355.67,2415.27,200.0,,,,710.07,3904.2
1994-01-01 00:00:00,995.0,436.1,2681.44,230.0,,,,808.11,4607.3
1994-02-01 00:00:00,1090.0,452.97,2464.56,242.5,,,,796.95,4536.3
1994-03-01 00:00:00,1010.0,388.26,1971.65,237.5,,,,702.66,4029.5
1994-04-01 00:00:00,1210.0,400.63,1813.92,261.5,,,,770.4,4206.6
1994-05-01 00:00:00,1420.0,464.0,2001.22,312.0,,,,841.22,4449.9
1994-06-01 00:00:00,1490.0,431.4,1828.7,307.7,,,,808.24,4346.4
1994-07-01 00:00:00,1600.0,421.82,1656.18,309.0,,,,812.55,4300.5
1994-08-01 00:00:00,1925.0,520.08,2020.94,322.0,,,,907.39,4826.5
1994-09-01 00:00:00,1885.0,508.1,1991.36,351.0,,,,953.1,5088.7
1994-10-01 00:00:00,2300.0,536.86,2167.83,385.0,,,,1055.81,5659.5
1994-11-01 00:00:00,2210.0,532.06,2109.66,378.0,,,,1030.35,5698.6
1994-12-01 00:00:00,2303.0,527.75,2020.94,346.0,,,,972.33,5426.4
1995-01-01 00:00:00,2489.0,594.38,1789.27,317.0,,,,925.95,5410.6
1995-02-01 00:00:00,2330.0,656.69,1720.26,307.5,,,,893.08,5319.5
1995-03-01 00:00:00,2220.0,623.14,1794.2,293.5,,,,875.58,5275.5
1995-04-01 00:00:00,2310.0,649.02,1813.92,320.0,,,,937.03,5462.6
1995-05-01 00:00:00,2200.0,657.65,1902.64,314.0,,,,1013.94,6078.4
1995-06-01 00:00:00,2360.0,656.69,1966.72,330.0,,,,1037.47,6170.0
1995-07-01 00:00:00,2440.0,637.61,1873.07,293.7,,,,994.88,6164.0
1995-08-01 00:00:00,2340.0,624.1,1646.33,253.0,,,,957.06,6032.9
1995-09-01 00:00:00,2150.0,603.96,1675.9,262.0,,,,934.7,5817.6
1995-10-01 00:00:00,2025.0,580.0,1902.64,289.2,,,,968.73,5915.3
1995-11-01 00:00:00,1870.0,541.65,1745.01,266.25,,,,921.77,5565.2
1995-12-01 00:00:00,1740.0,512.89,1848.42,295.0,,,,983.99,5739.97
1996-01-01 00:00:00,1671.0,474.54,1599.01,269.25,,,23500.0,1015.15,5658.21
1996-02-01 00:00:00,1505.0,461.12,1636.47,270.0,,,23000.0,1015.15,5588.23
1996-03-01 00:00:00,1420.0,416.06,1661.11,256.0,,,19000.0,973.51,5325.76
1996-04-01 00:00:00,1560.0,467.83,1656.18,260.0,,,,1014.13,5499.76
1996-05-01 00:00:00,1570.0,440.99,1749.94,253.0,,,19200.0,993.65,5417.19
1996-06-01 00:00:00,1770.0,474.54,1873.07,284.0,,,23000.0,1039.79,5580.47
1996-07-01 00:00:00,1720.0,505.22,1863.21,267.5,,,23000.0,1015.6,5515.08
1996-08-01 00:00:00,1655.0,493.72,1581.26,259.0,,,23000.0,980.82,5302.96
1996-09-01 00:00:00,1760.0,499.47,1666.04,255.0,,,23000.0,1006.03,5414.93
1996-10-01 00:00:00,1700.0,506.18,1616.75,256.0,,,23000.0,1006.82,5386.25
1996-11-01 00:00:00,1605.1,472.62,1547.74,229.6,,,22750.0,945.94,5068.11
1996-12-01 00:00:00,1525.0,438.11,1311.15,211.0,339.78,,,900.59,4902.59
1997-01-01 00:00:00,1650.0,448.66,1330.86,249.5,375.26,,22390.0,995.45,5227.32
1997-02-01 00:00:00,1630.0,431.4,1528.03,255.0,434.72,,22000.0,1044.4,5368.45
1997-03-01 00:00:00,1548.0,413.19,1577.32,254.5,439.72,,20500.0,1023.25,5278.05
1997-04-01 00:00:00,1620.0,412.23,1774.48,259.0,444.71,,17500.0,1069.84,5331.05
1997-05-01 00:00:00,1910.0,471.67,1887.85,302.0,449.71,,16999.0,1169.76,5652.17
1997-06-01 00:00:00,2140.0,498.51,1725.19,310.5,499.68,,14500.0,1184.84,5732.08
1997-07-01 00:00:00,2095.0,503.3,1868.04,322.0,519.67,,11000.0,1207.57,5706.7
1997-08-01 00:00:00,1970.0,469.75,2060.37,299.0,504.68,,10000.0,1146.02,5480.45
1997-09-01 00:00:00,1880.0,450.58,2267.4,290.0,539.65,,10000.0,1151.65,5481.29
1997-10-01 00:00:00,1720.0,407.44,2070.23,271.0,504.68,,7200.0,1065.0,5071.22
1997-11-01 00:00:00,1625.0,375.8,2218.1,261.0,487.69,,6500.0,1037.43,4942.28
1997-12-01 00:00:00,1490.0,354.71,2464.56,252.0,479.69,,6400.0,1016.72,4794.41
1998-01-01 00:00:00,1230.0,287.6,2011.08,244.5,379.76,,6000.0,907.23,4321.56
1998-02-01 00:00:00,1355.0,308.21,2365.98,268.5,424.73,,,1001.42,4514.43
1998-03-01 00:00:00,1520.0,393.06,2592.72,282.0,444.71,,5800.0,1062.63,4833.17
1998-04-01 00:00:00,1360.0,358.06,2464.56,253.5,419.73,,5800.0,995.34,4589.3
1998-05-01 00:00:00,1265.0,335.53,2099.81,234.0,396.75,,5500.0,910.27,4317.71
1998-06-01 00:00:00,1155.0,307.73,1922.36,219.0,347.78,,5000.0,860.87,4064.76
1998-07-01 00:00:00,1240.0,320.2,2040.66,219.0,329.79,,5000.0,902.61,4116.85
1998-08-01 00:00:00,1000.0,268.43,1646.33,142.0,249.85,,5000.0,633.1,3257.38
1998-09-01 00:00:00,910.0,278.01,1725.19,132.8,239.85,,,669.0,3268.62
1998-10-01 00:00:00,960.0,284.73,1675.9,155.75,236.85,,,732.92,3396.81
1998-11-01 00:00:00,1280.0,348.0,2040.66,166.0,319.79,,4150.0,829.02,3961.9
1998-12-01 00:00:00,1020.0,281.37,1794.2,171.5,227.85,,4200.0,786.71,3594.75
1999-01-01 00:00:00,900.0,258.84,1705.48,191.0,239.85,,4600.0,810.45,3562.3
1999-02-01 00:00:00,1060.0,304.86,1922.36,210.0,259.83,,,859.63,3841.11
1999-03-01 00:00:00,1460.0,347.05,2050.51,227.0,289.81,,5000.0,931.65,4134.19
1999-04-01 00:00:00,1590.0,421.82,2395.55,200.0,379.76,,5000.0,939.86,4457.8
1999-05-01 00:00:00,1540.0,407.44,2661.72,178.0,394.75,,5400.0,897.66,4470.88
1999-06-01 00:00:00,1760.0,456.33,2858.89,199.5,434.72,,5400.0,1006.03,4772.69
1999-07-01 00:00:00,1845.0,436.2,2637.08,198.5,424.73,,5340.0,1014.02,4707.08
1999-08-01 00:00:00,1860.0,434.28,2661.72,213.5,419.73,,5350.0,1008.39,4652.73
1999-09-01 00:00:00,1825.0,460.16,2457.66,231.0,429.72,,5351.0,984.31,4620.39
1999-10-01 00:00:00,1950.0,472.15,2267.4,230.0,427.73,,5350.0,987.69,4581.22
1999-11-01 00:00:00,2160.0,493.72,2991.98,241.0,499.68,,5000.0,1058.47,4910.69
1999-12-01 00:00:00,2350.0,524.39,3312.37,250.0,594.62,,5000.0,1125.31,5167.72
2000-01-01 00:00:00,2490.0,570.41,3351.8,222.0,599.61,,5510.0,1151.42,5428.04
2000-02-01 00:00:00,2455.0,596.29,2563.14,197.0,594.62,,,1106.18,5191.21
2000-03-01 00:00:00,2460.2,580.0,2543.43,184.0,570.13,,5250.0,1128.58,5135.26
2000-04-01 00:00:00,2300.0,575.2,2277.25,198.0,549.65,,,1075.01,4959.13
2000-05-01 00:00:00,2280.0,584.79,2316.69,205.75,549.65,,5200.0,1124.19,4992.2
2000-06-01 00:00:00,2280.0,584.79,2385.69,198.5,514.67,,5200.0,1108.66,4918.37
2000-07-01 00:00:00,2345.0,580.0,2415.27,194.5,494.68,,4500.0,1074.79,4827.61
2000-08-01 00:00:00,2300.0,603.96,2563.14,201.5,534.66,,4500.0,1123.29,4954.09
2000-09-01 00:00:00,2140.0,585.75,2484.28,204.0,509.67,,5000.0,1109.79,4849.56
2000-10-01 00:00:00,2220.0,565.62,2149.1,200.0,514.67,,5500.0,1060.72,4752.3
2000-11-01 00:00:00,2065.0,546.44,2242.75,208.0,528.66,,8200.0,1086.49,4841.33
2000-12-01 00:00:00,2060.0,527.27,2415.27,206.0,514.67,,8000.0,1084.47,4869.04
2001-01-01 00:00:00,1980.1,488.44,2810.58,224.0,524.56,,7990.0,1138.47,5103.66
2001-02-01 00:00:00,1840.0,464.96,2858.89,210.0,491.68,,,1096.5,4912.68
2001-03-01 00:00:00,2030.0,461.12,3006.76,223.0,489.69,,6500.0,1062.67,4937.32
2001-04-01 00:00:00,2360.0,469.75,2846.07,221.7,524.66,,8100.0,1105.61,5071.61
2001-05-01 00:00:00,2235.0,529.47,2784.95,246.0,589.62,,8660.1,1207.66,5484.44
2001-06-01 00:00:00,2120.0,498.51,2740.49,234.0,565.14,,8550.0,1169.27,5390.62
2001-07-01 00:00:00,2211.1,495.63,2908.18,235.0,577.63,,8650.0,1201.26,5492.48
2001-08-01 00:00:00,2300.0,532.06,2908.18,237.0,594.62,,,1239.65,5666.56
2001-09-01 00:00:00,1980.0,502.34,2415.27,203.0,504.68,,8700.0,1070.48,5076.02
2001-10-01 00:00:00,2099.0,532.06,2237.82,207.25,514.67,,,1121.88,5180.93
2001-11-01 00:00:00,2250.0,584.79,2414.28,235.0,559.74,,8700.0,1192.15,5443.15
2001-12-01 00:00:00,2211.0,580.0,2306.83,224.6,539.65,,,1183.15,5397.69
2002-01-01 00:00:00,2330.0,594.38,2139.24,211.0,530.66,,8700.0,1153.1,5282.24
2002-02-01 00:00:00,2375.0,594.86,2119.52,219.0,559.64,,8700.0,1144.46,5287.2
2002-03-01 00:00:00,2300.0,642.31,2168.81,207.0,589.62,,,1163.63,5340.43
2002-04-01 00:00:00,2230.0,623.14,1981.51,201.75,569.63,,,1137.84,5223.76
2002-05-01 00:00:00,2330.0,606.36,1892.78,188.0,538.65,,8000.0,1099.74,5138.45
2002-06-01 00:00:00,2260.0,618.34,2099.81,184.0,510.67,,8000.0,1031.95,5002.66
2002-07-01 00:00:00,2515.0,647.1,2149.1,191.0,519.67,,,1039.64,4954.71
2002-08-01 00:00:00,2550.0,642.31,1961.79,189.0,499.68,,6000.0,1022.36,4955.49
2002-09-01 00:00:00,2340.0,586.71,1848.42,165.5,428.22,,5120.0,927.47,4695.26
2002-10-01 00:00:00,2440.0,580.0,1863.21,185.0,451.71,,4010.0,958.59,4768.42
2002-11-01 00:00:00,2449.9,594.38,1991.36,178.5,462.7,,4500.0,960.36,4814.82
2002-12-01 00:00:00,2580.0,608.76,2094.88,179.0,550.65,,,1000.0,5019.64
2003-01-01 00:00:00,2500.0,589.58,2365.98,185.0,504.68,,4250.0,1001.99,4981.9
2003-02-01 00:00:00,2740.1,605.88,2489.21,183.5,519.57,,4255.0,1014.94,5045.96
2003-03-01 00:00:00,2755.0,644.24,2296.87,172.25,539.65,,4260.0,1009.13,5057.13
2003-04-01 00:00:00,3120.0,720.92,2316.69,209.5,679.56,,4600.0,1163.96,5679.59
2003-05-01 00:00:00,3425.0,704.62,2306.83,216.0,699.65,,5550.0,1231.01,5917.39
2003-06-01 00:00:00,3581.0,738.18,2237.72,210.01,759.31,,5800.0,1228.12,5967.54
2003-07-01 00:00:00,3770.0,853.22,2592.82,219.9,839.46,,5800.0,1321.38,6309.86
2003-08-01 00:00:00,3990.0,920.32,2257.54,225.0,899.42,,6200.0,1369.62,6727.96
2003-09-01 00:00:00,4390.0,1039.53,2395.55,236.0,959.38,,8000.0,1430.49,6991.6
2003-10-01 00:00:00,4400.0,1008.73,2632.15,242.0,1119.28,,8210.0,1515.96,7452.02
2003-11-01 00:00:00,4250.0,1029.9,2563.14,237.0,1019.35,,8300.0,1458.34,7244.7
2003-12-01 00:00:00,4270.0,1140.59,2593.7,233.0,1047.33,,8250.0,1484.8,7336.67
2004-01-01 00:00:00,4251.0,1049.15,2563.14,229.0,1009.35,,8750.0,1408.86,7079.38
2004-02-01 00:00:00,4715.0,1126.15,2858.89,265.0,1219.22,,8750.0,1543.08,7629.43
2004-03-01 00:00:00,4580.0,1217.59,2760.31,250.01,1184.24,,8750.0,1458.9,7474.34
2004-04-01 00:00:00,4400.0,1134.82,2602.57,278.99,1139.27,,8750.0,1430.6,7339.68
2004-05-01 00:00:00,4379.6,1029.9,2513.85,264.1,1189.34,,8500.0,1428.8,7207.75
2004-06-01 00:00:00,4639.7,1117.01,2651.87,262.0,1239.7,,,1482.98,7518.78
2004-07-01 00:00:00,4720.0,1217.59,2637.08,284.0,1448.97,,8700.0,1520.85,7882.41
2004-08-01 00:00:00,4530.0,1270.53,2908.18,317.63,1389.11,,,1631.41,8238.23
2004-09-01 00:00:00,4400.0,1222.5,2819.55,320.0,1310.96,,9000.0,1707.02,8562.71
2004-10-01 00:00:00,4520.0,1232.03,2740.59,341.99,1370.12,,9000.0,1768.2,8805.95
2004-11-01 00:00:00,4650.0,1299.31,2937.76,326.0,1410.39,,9301.0,1790.47,8998.6
2004-12-01 00:00:00,4401.1,1270.53,2801.71,334.99,1348.13,,9321.0,1796.48,8962.56
2005-01-01 00:00:00,4476.0,1217.59,2755.38,332.0,1289.17,,,1809.88,8864.43
2005-02-01 00:00:00,4740.0,1270.24,2839.17,365.0,1294.17,,,1895.2,9178.15
2005-03-01 00:00:00,4959.5,1337.35,2809.6,387.7,1279.28,,9601.0,1961.69,9413.22
2005-04-01 00:00:00,4445.6,1265.45,2714.96,431.5,1225.21,,10000.0,1956.98,9263.71
2005-05-01 00:00:00,4730.0,1217.51,2681.44,446.0,1234.31,,10000.0,1968.78,9199.45
2005-06-01 00:00:00,4660.0,1289.41,2747.49,484.0,1344.14,,10060.0,2056.84,9521.44
2005-07-01 00:00:00,4787.4,1313.38,3122.8,488.0,1459.16,,10400.0,2175.06,9975.23
2005-08-01 00:00:00,4670.9,1293.15,2809.89,474.0,1369.42,486.57,10400.0,2086.25,9757.51
2005-09-01 00:00:00,4900.0,1447.59,2701.26,521.13,1460.06,503.37,11000.0,2152.82,10073.32
2005-10-01 00:00:00,4720.0,1370.9,2573.0,538.5,1339.14,482.56,,2072.64,9786.64
2005-11-01 00:00:00,4619.2,1260.75,2632.15,516.26,1359.13,480.85,11000.0,2027.61,9430.58
2005-12-01 00:00:00,4437.0,1217.51,2563.14,519.5,1409.1,445.89,10830.0,1964.47,9206.1
2006-01-01 00:00:00,4515.0,1275.03,2612.43,555.0,1406.1,460.98,11510.0,2118.46,9513.4
2006-02-01 00:00:00,4852.6,1349.52,2749.36,544.0,1516.53,485.53,11510.0,2166.84,9755.4
2006-03-01 00:00:00,4907.7,1457.18,2587.79,533.5,1613.56,497.16,11200.0,2181.95,9930.98
